"number","frame.time","ip.src","ip.dst","tcp.port","frame.len"
"1","Oct 22, 2017 12:46:43.672779000 CEST","192.168.1.142","23.211.10.90","54406","74"
"2","Oct 22, 2017 12:46:43.686586000 CEST","23.211.10.90","192.168.1.142","443","74"
"3","Oct 22, 2017 12:46:43.686699000 CEST","192.168.1.142","23.211.10.90","54406","66"
"4","Oct 22, 2017 12:46:43.687732000 CEST","192.168.1.142","23.211.10.90","54406","254"
"5","Oct 22, 2017 12:46:43.692329000 CEST","23.211.10.90","192.168.1.142","443","66"
"6","Oct 22, 2017 12:46:43.692570000 CEST","23.211.10.90","192.168.1.142","443","1506"
"7","Oct 22, 2017 12:46:43.692638000 CEST","192.168.1.142","23.211.10.90","54406","66"
"8","Oct 22, 2017 12:46:43.692863000 CEST","23.211.10.90","192.168.1.142","443","1506"
"9","Oct 22, 2017 12:46:43.692905000 CEST","192.168.1.142","23.211.10.90","54406","66"
"10","Oct 22, 2017 12:46:43.693477000 CEST","23.211.10.90","192.168.1.142","443","1282"
"11","Oct 22, 2017 12:46:43.693519000 CEST","192.168.1.142","23.211.10.90","54406","66"
"12","Oct 22, 2017 12:46:43.694920000 CEST","23.211.10.90","192.168.1.142","443","603"
"13","Oct 22, 2017 12:46:43.694991000 CEST","192.168.1.142","23.211.10.90","54406","66"
"14","Oct 22, 2017 12:46:43.701318000 CEST","192.168.1.142","23.211.10.90","54406","192"
"15","Oct 22, 2017 12:46:43.704374000 CEST","23.211.10.90","192.168.1.142","443","308"
"16","Oct 22, 2017 12:46:43.746451000 CEST","192.168.1.142","23.211.10.90","54406","66"
"17","Oct 22, 2017 12:46:43.885448000 CEST","192.168.1.142","23.211.10.90","54406","223"
"18","Oct 22, 2017 12:46:43.886141000 CEST","192.168.1.142","23.211.10.90","54406","898"
"19","Oct 22, 2017 12:46:43.888595000 CEST","23.211.10.90","192.168.1.142","443","143"
"20","Oct 22, 2017 12:46:43.888700000 CEST","192.168.1.142","23.211.10.90","54406","66"
"21","Oct 22, 2017 12:46:43.888957000 CEST","192.168.1.142","23.211.10.90","54406","104"
"22","Oct 22, 2017 12:46:43.891944000 CEST","23.211.10.90","192.168.1.142","443","66"
"23","Oct 22, 2017 12:46:44.130972000 CEST","23.211.10.90","192.168.1.142","443","1440"
"24","Oct 22, 2017 12:46:44.131112000 CEST","23.211.10.90","192.168.1.142","443","109"
"25","Oct 22, 2017 12:46:44.131548000 CEST","192.168.1.142","23.211.10.90","54406","66"
"26","Oct 22, 2017 12:46:44.135092000 CEST","23.211.10.90","192.168.1.142","443","194"
"27","Oct 22, 2017 12:46:44.135244000 CEST","23.211.10.90","192.168.1.142","443","109"
"28","Oct 22, 2017 12:46:44.135321000 CEST","192.168.1.142","23.211.10.90","54406","66"
"29","Oct 22, 2017 12:46:44.135561000 CEST","23.211.10.90","192.168.1.142","443","1027"
"30","Oct 22, 2017 12:46:44.136146000 CEST","23.211.10.90","192.168.1.142","443","194"
