frame.number,frame.time,ip.src,ip.dst,tcp.port,frame.len
"1","Oct 22, 2017 12:46:43.870388000 CEST",,,"50036","94"
"2","Oct 22, 2017 12:46:43.874624000 CEST",,,"80","94"
"3","Oct 22, 2017 12:46:43.874756000 CEST",,,"50036","86"
"4","Oct 22, 2017 12:46:43.875468000 CEST",,,"50036","520"
"5","Oct 22, 2017 12:46:43.880149000 CEST",,,"80","86"
"6","Oct 22, 2017 12:46:43.880667000 CEST",,,"80","1506"
"7","Oct 22, 2017 12:46:43.880749000 CEST",,,"50036","86"
"8","Oct 22, 2017 12:46:43.880907000 CEST",,,"80","631"
"9","Oct 22, 2017 12:46:43.880953000 CEST",,,"50036","86"
"10","Oct 22, 2017 12:46:44.519194000 CEST",,,"50036","520"
"11","Oct 22, 2017 12:46:44.523206000 CEST",,,"50046","94"
"12","Oct 22, 2017 12:46:44.523407000 CEST",,,"50048","94"
"13","Oct 22, 2017 12:46:44.523418000 CEST",,,"80","1506"
"14","Oct 22, 2017 12:46:44.523515000 CEST",,,"50036","86"
"15","Oct 22, 2017 12:46:44.523937000 CEST",,,"80","631"
"16","Oct 22, 2017 12:46:44.523994000 CEST",,,"50036","86"
"17","Oct 22, 2017 12:46:44.524615000 CEST",,,"50036","520"
"18","Oct 22, 2017 12:46:44.524997000 CEST",,,"50050","94"
"19","Oct 22, 2017 12:46:44.528556000 CEST",,,"80","94"
"20","Oct 22, 2017 12:46:44.528670000 CEST",,,"50048","86"
"21","Oct 22, 2017 12:46:44.529036000 CEST",,,"50048","520"
"22","Oct 22, 2017 12:46:44.529115000 CEST",,,"80","94"
"23","Oct 22, 2017 12:46:44.529184000 CEST",,,"50046","86"
"24","Oct 22, 2017 12:46:44.530564000 CEST",,,"80","94"
"25","Oct 22, 2017 12:46:44.530659000 CEST",,,"50050","86"
"26","Oct 22, 2017 12:46:44.530724000 CEST",,,"80","1506"
"27","Oct 22, 2017 12:46:44.530769000 CEST",,,"80","631"
"28","Oct 22, 2017 12:46:44.530810000 CEST",,,"50036","86"
"29","Oct 22, 2017 12:46:44.534598000 CEST",,,"80","86"
