frame.number,frame.time,ip.src,ip.dst,tcp.port,frame.len,tcp.flags
11,Nov  1, 2017 23:58:48.602821693 CET,192.168.124.179,104.96.8.227,59066,66,0x00000010
12,Nov  1, 2017 23:58:48.603167085 CET,192.168.124.179,172.217.18.174,59328,66,0x00000010
13,Nov  1, 2017 23:58:48.608693749 CET,104.96.8.227,192.168.124.179,443,66,0x00000010
14,Nov  1, 2017 23:58:48.613699841 CET,172.217.18.1,192.168.124.179,443,66,0x00000010
15,Nov  1, 2017 23:58:48.613720197 CET,172.217.18.174,192.168.124.179,443,66,0x00000010
16,Nov  1, 2017 23:58:48.613723201 CET,172.217.18.174,192.168.124.179,443,66,0x00000010
17,Nov  1, 2017 23:58:48.626760548 CET,40.114.149.220,192.168.124.179,443,66,0x00000010
18,Nov  1, 2017 23:58:48.710545865 CET,65.52.108.114,192.168.124.179,443,66,0x00000010
19,Nov  1, 2017 23:58:49.145703312 CET,192.168.124.179,23.97.186.43,39912,66,0x00000010
20,Nov  1, 2017 23:58:49.170985411 CET,23.97.186.43,192.168.124.179,443,66,0x00000010
21,Nov  1, 2017 23:58:50.649647895 CET,192.168.124.179,172.217.18.173,44604,66,0x00000010
22,Nov  1, 2017 23:58:50.650116493 CET,192.168.124.179,172.217.18.174,59194,66,0x00000010
23,Nov  1, 2017 23:58:50.661452521 CET,172.217.18.173,192.168.124.179,443,66,0x00000010
24,Nov  1, 2017 23:58:50.661468384 CET,172.217.18.174,192.168.124.179,443,66,0x00000010
25,Nov  1, 2017 23:58:51.131833371 CET,192.168.124.179,40.114.149.220,34820,695,0x00000018
26,Nov  1, 2017 23:58:51.132316633 CET,192.168.124.179,40.114.149.220,34820,1719,0x00000018
27,Nov  1, 2017 23:58:51.177644189 CET,40.114.149.220,192.168.124.179,443,78,0x00000010
28,Nov  1, 2017 23:58:51.261501460 CET,192.168.124.179,40.114.149.220,34820,291,0x00000018
29,Nov  1, 2017 23:58:51.283775804 CET,40.114.149.220,192.168.124.179,443,86,0x00000010
30,Nov  1, 2017 23:58:51.283804774 CET,192.168.124.179,40.114.149.220,34820,1494,0x00000010
31,Nov  1, 2017 23:58:51.311019468 CET,40.114.149.220,192.168.124.179,443,66,0x00000010
32,Nov  1, 2017 23:58:51.311043719 CET,40.114.149.220,192.168.124.179,443,519,0x00000018
33,Nov  1, 2017 23:58:51.311090026 CET,192.168.124.179,40.114.149.220,34820,66,0x00000010
34,Nov  1, 2017 23:58:51.673531048 CET,192.168.124.179,40.79.72.122,41896,66,0x00000010
35,Nov  1, 2017 23:58:51.675606149 CET,192.168.124.179,40.77.226.194,57164,1494,0x00000010
36,Nov  1, 2017 23:58:51.675945360 CET,192.168.124.179,40.77.226.194,57164,611,0x00000018
37,Nov  1, 2017 23:58:51.676181519 CET,192.168.124.179,40.77.226.194,57164,135,0x00000018
38,Nov  1, 2017 23:58:51.716895807 CET,40.77.226.194,192.168.124.179,443,66,0x00000010
39,Nov  1, 2017 23:58:51.782580419 CET,40.79.72.122,192.168.124.179,443,66,0x00000010
40,Nov  1, 2017 23:58:52.094314437 CET,40.77.226.194,192.168.124.179,443,567,0x00000018
41,Nov  1, 2017 23:58:52.094338982 CET,192.168.124.179,40.77.226.194,57164,66,0x00000010
42,Nov  1, 2017 23:58:52.697509761 CET,192.168.124.179,172.217.18.163,37236,66,0x00000010
43,Nov  1, 2017 23:58:52.697808694 CET,192.168.124.179,172.217.18.170,52690,66,0x00000010
44,Nov  1, 2017 23:58:52.698029662 CET,192.168.124.179,13.107.8.150,56110,66,0x00000010
45,Nov  1, 2017 23:58:52.706909156 CET,172.217.18.163,192.168.124.179,443,66,0x00000010
46,Nov  1, 2017 23:58:52.709514969 CET,172.217.18.170,192.168.124.179,443,66,0x00000010
47,Nov  1, 2017 23:58:52.719101052 CET,13.107.8.150,192.168.124.179,443,66,0x00000010
